Age Ma	d18O adj	d18O 5pt	tempC	tempC_5pt
0.104	3.47	3.726	3.264726	2.42183064
0.104	3.8	3.708	2.1816	2.48049696
0.1062	3.97	3.77	1.635526	2.278806
0.108	3.76	3.838	2.311264	2.05883416
0.109	3.85	3.878	2.02015	1.93004376
0.109	3.81	3.82	2.149254	2.116936
0.112	4	3.842	1.54	2.04593496
0.112	3.68	3.728	2.571936	2.41531776
0.113	3.87	3.656	1.955766	2.65048704
0.114	3.28	3.594	3.902176	2.85415704
0.114	3.45	3.544	3.33135	3.01919104
0.1155	3.69	3.62	2.539254	2.768616
0.116	3.43	3.688	3.398086	2.54578816
0.118	4.25	3.542	0.753750000000001	3.02580696
0.1188	3.62	3.448	2.768616	3.33801856
0.119	2.72	3.412	5.839776	3.45824416
0.12	3.22	3.2	4.105576	4.1736
0.12	3.25	3.014	4.00375	4.81158744
0.1216	3.19	3.13	4.207654	4.412566
0.122	2.69	3.096	5.946054	4.52913024
0.124	3.3	3.004	3.8346	4.84616224
0.1244	3.05	3.246	4.68735	4.01731224
0.126	2.79	3.476	5.592774	3.24476064
0.126	4.4	3.572	0.290399999999999	2.92668576
0.1269	3.84	3.7	2.052384	2.5066
0.128	3.78	4.07	2.246376	1.318086
0.131	3.69	4.076	2.539254	1.29912864
0.1312	4.64	4.208	-0.437855999999998	0.88461696
0.132	4.43	4.45	0.198486	0.137349999999999
0.133	4.5	4.704	-0.0149999999999975	-0.629333759999997
0.135	4.99	4.73	-1.470986	-0.706794000000001
0.136	4.96	4.748	-1.383776	-0.760309439999999
0.136	4.77	4.826	-0.825593999999996	-0.991161359999996
0.137	4.52	4.744	-0.0757439999999967	-0.748424959999997
0.14	4.89	4.71	-1.179306	-0.647226
0.14	4.58	4.716	-0.257303999999999	-0.66510816
0.14	4.79	4.722	-0.884825999999998	-0.68298024
0.141	4.8	4.654	-0.914399999999997	-0.47983976
0.141	4.55	4.65	-0.166649999999998	-0.46785
0.143	4.55	4.64	-0.166649999999998	-0.437855999999998
0.144	4.56	4.666	-0.196895999999997	-0.51578216
0.144	4.74	4.614	-0.736536000000001	-0.35974056
0.1447	4.93	4.698	-1.296314	-0.611431439999999
0.145	4.29	4.722	0.629574000000001	-0.68298024
0.1466	4.97	4.704	-1.412874	-0.629333759999997
0.148	4.68	4.684	-0.557663999999999	-0.569620160000001
0.148	4.65	4.84	-0.46785	-1.032416
0.1482	4.83	4.794	-1.002954	-0.896658959999997
0.149	5.07	4.718	-1.702314	-0.671066639999998
0.1498	4.74	4.704	-0.736536000000001	-0.629333759999997
0.151	4.3	4.654	0.598600000000002	-0.47983976
0.152	4.58	4.566	-0.257303999999999	-0.215030159999997
0.152	4.58	4.596	-0.257303999999999	-0.305549759999999
0.153	4.78	4.518	-0.855223999999998	-0.0696746399999988
0.1548	4.59	4.528	-0.287465999999998	-0.100010239999998
0.156	4.06	4.512	1.349704	-0.0514598399999988
0.156	4.63	4.476	-0.407833999999999	0.0580406400000002
0.157	4.5	4.482	-0.0149999999999975	0.0397653600000001
0.1575	4.6	4.546	-0.317599999999998	-0.154543759999998
0.16	4.62	4.574	-0.377783999999999	-0.239193359999999
0.1602	4.38	4.54	0.351816000000001	-0.136375999999998
0.161	4.77	4.49	-0.825593999999996	0.015414000000002
0.161	4.33	4.452	0.505846	0.131242560000001
0.163	4.35	4.436	0.444150000000001	0.180133440000001
0.164	4.43	4.32	0.198486	0.536736
0.1655	4.3	4.36	0.598600000000002	0.413343999999999
0.166	4.19	4.362	0.940854000000001	0.407186160000002
0.167	4.53	4.33	-0.106073999999999	0.505846
0.1676	4.36	4.37	0.413343999999999	0.382566
0.168	4.27	4.354	0.691606000000003	0.43182424
0.1698	4.5	4.254	-0.0149999999999975	0.741312240000002
0.171	4.11	4.266	1.191894	0.704025840000002
0.171	4.03	4.262	1.444726	0.71645016
0.172	4.42	4.266	0.229096	0.704025840000002
0.172	4.25	4.284	0.753750000000001	0.648171840000001
0.1741	4.52	4.3	-0.0757439999999967	0.598600000000002
0.176	4.2	4.274	0.909600000000002	0.679190640000001
0.176	4.11	4.346	1.191894	0.456480240000001
0.176	4.29	4.31	0.629574000000001	0.567654000000002
0.1763	4.61	4.336	-0.347706	0.48732544
0.18	4.34	4.342	0.474984000000001	0.468814960000003
0.1808	4.33	4.384	0.505846	0.339523839999999
0.181	4.14	4.316	1.097544	0.549099840000002
0.183	4.5	4.336	-0.0149999999999975	0.48732544
0.184	4.27	4.258	0.691606000000003	0.72887896
0.186	4.44	4.242	0.167903999999998	0.77863896
0.186	3.94	4.15	1.731304	1.06615
0.1873	4.06	4.02	1.349704	1.476456
0.188	4.04	3.818	1.413024	2.12339736
0.189	3.62	3.82	2.768616	2.116936
0.19	3.43	3.776	3.398086	2.25934464
0.191	3.95	3.714	1.69935	2.46093144
0.192	3.84	3.564	2.052384	2.95309344
0.1938	3.73	3.564	2.408806	2.95309344
0.194	2.87	3.47	5.312166	3.264726
0.195	3.43	3.444	3.398086	3.35135904
0.1955	3.48	3.436	3.231456	3.37805344
0.196	3.71	3.54	2.473974	3.032424
0.1969	3.69	3.614	2.539254	2.78833944
0.199	3.39	3.598	3.531894	2.84098456
0.1996	3.8	3.596	2.1816	2.84757024
0.2	3.4	3.498	3.4984	3.17164056
0.2	3.7	3.546	2.5066	3.01257624
0.202	3.2	3.542	4.1736	3.02580696
0.2024	3.63	3.538	2.735766	3.03904216
0.204	3.78	3.508	2.246376	3.13844896
0.205	3.38	3.58	3.565416	2.900296
0.2051	3.55	3.602	2.99935	2.82781656
0.2079	3.56	3.568	2.966304	2.93988736
0.208	3.74	3.626	2.376264	2.74890264
0.2115	3.61	3.598	2.801494	2.84098456
0.212	3.67	3.644	2.604646	2.68982304
0.214	3.41	3.602	3.464934	2.82781656
0.216	3.79	3.592	2.213974	2.86074496
0.2161	3.53	3.57	3.065526	2.933286
0.217	3.56	3.604	2.966304	2.82123424
0.219	3.56	3.638	2.966304	2.70950616
0.22	3.58	3.728	2.900296	2.41531776
0.22	3.96	3.856	1.667424	2.00082304
0.22	3.98	4.078	1.603656	1.29281176
0.222	4.2	4.192	0.909600000000002	0.93460096
0.2223	4.67	4.216	-0.527753999999999	0.859651839999998
0.224	4.15	4.364	1.06615	0.40102944
0.224	4.08	4.39	1.286496	0.321094000000001
0.225	4.72	4.284	-0.677023999999999	0.648171840000001
0.2256	4.33	4.284	0.505846	0.648171840000001
0.228	4.14	4.266	1.097544	0.704025840000002
0.228	4.15	4.124	1.06615	1.14783264
0.2289	3.99	3.928	1.571814	1.76968576
0.229	4.01	3.918	1.508214	1.80170136
0.232	3.35	3.944	3.66615	1.71851904
0.232	4.09	4.026	1.254934	1.45741464
0.2321	4.28	3.952	0.660576	1.69296256
0.235	4.4	3.966	0.290399999999999	1.64828184
0.2354	3.64	3.93	2.702944	1.763286
0.236	3.42	3.8	3.431496	2.1816
0.236	3.91	3.61	1.827334	2.801494
0.238	3.63	3.518	2.735766	3.10528536
0.2387	3.45	3.586	3.33135	2.88051544
0.24	3.18	3.484	4.241736	3.21815584
0.24	3.76	3.54	2.311264	3.032424
0.242	3.4	3.578	3.4984	2.90689176
0.2427	3.91	3.746	1.827334	2.35675224
0.243	3.64	3.786	2.702944	2.22693144
0.244	4.02	3.986	1.476456	1.58454744
0.244	3.96	4.144	1.667424	1.08498304
0.2451	4.4	4.288	0.290399999999999	0.635772159999999
0.2473	4.7	4.358	-0.6174	0.419502960000004
0.248	4.36	4.416	0.413343999999999	0.241347839999999
0.248	4.37	4.476	0.382566	0.0580406400000002
0.248	4.25	4.464	0.753750000000001	0.0946214400000014
0.2493	4.7	4.506	-0.6174	-0.033234960000001
0.2515	4.64	4.494	-0.437855999999998	0.00324504000000259
0.252	4.57	4.506	-0.227113999999999	-0.033234960000001
0.252	4.31	4.454	0.567654000000002	0.125136240000003
0.252	4.31	4.46	0.567654000000002	0.106824
0.2535	4.44	4.422	0.167903999999998	0.222971760000002
0.255	4.67	4.4	-0.527753999999999	0.290399999999999
0.2557	4.38	4.404	0.351816000000001	0.278130240000003
0.256	4.2	4.41	0.909600000000002	0.259733999999999
0.256	4.33	4.326	0.505846	0.518198640000003
0.2576	4.47	4.274	0.0763260000000034	0.679190640000001
0.259	4.25	4.316	0.753750000000001	0.549099840000002
0.2599	4.12	4.322	1.160416	0.530555760000002
0.26	4.41	4.306	0.259733999999999	0.580029040000002
0.26	4.36	4.166	0.413343999999999	1.01597784
0.2619	4.39	4.174	0.321094000000001	0.990918640000001
0.2627	3.55	4.252	2.99935	0.74753056
0.263	4.16	4.256	1.034784	0.735095040000002
0.264	4.8	4.206	-0.914399999999997	0.890861039999998
0.264	4.38	4.42	0.351816000000001	0.229096
0.2651	4.14	4.474	1.097544	0.0641346400000011
0.266	4.62	4.372	-0.377783999999999	0.376413760000002
0.2669	4.43	4.384	0.198486	0.339523839999999
0.267	4.29	4.414	0.629574000000001	0.247475440000004
0.268	4.44	4.378	0.167903999999998	0.357963760000002
0.2697	4.29	4.414	0.629574000000001	0.247475440000004
0.27	4.44	4.444	0.167903999999998	0.155679040000003
0.272	4.61	4.362	-0.347706	0.407186160000002
0.272	4.44	4.288	0.167903999999998	0.635772159999999
0.2724	4.03	4.172	1.444726	0.997181760000001
0.273	3.92	4.136	1.795296	1.11010944
0.2752	3.86	4.11	1.987944	1.191894
0.276	4.43	4.074	0.198486	1.30544664
0.276	4.31	4.012	0.567654000000002	1.50186016
0.2779	3.85	4.056	2.02015	1.36235904
0.278	3.61	3.968	2.801494	1.64190336
0.28	4.08	3.926	1.286496	1.77608664
0.2825	3.99	3.872	1.571814	1.94933376
0.283	4.1	3.94	1.2234	1.731304
0.284	3.58	3.87	2.900296	1.955766
0.284	3.95	3.916	1.69935	1.80810784
0.287	3.73	3.888	2.408806	1.89791616
0.2872	4.22	3.866	0.847176000000003	1.96863384
0.288	3.96	3.842	1.667424	2.04593496
0.29	3.47	3.912	3.264726	1.82092416
0.291	3.83	3.938	2.084646	1.73769816
0.292	4.08	3.996	1.286496	1.55272224
0.294	4.25	4.162	0.753750000000001	1.02851416
0.294	4.35	4.11	0.444150000000001	1.191894
0.296	4.04	4.184	1.413024	0.959619840000001
0.296	4.09	4.236	1.254934	0.797317440000003
0.2965	4.19	4.268	0.940854000000001	0.697815360000001
0.299	4.61	4.276	-0.347706	0.672984640000003
0.3	4.41	4.238	0.259733999999999	0.791090159999999
0.3	4.08	4.27	1.286496	0.691606000000003
0.3018	3.9	4.166	1.8594	1.01597784
0.303	4.35	4.05	0.444150000000001	1.38135
0.304	4.09	4.01	1.254934	1.508214
0.305	3.83	3.964	2.084646	1.65466144
0.3059	3.88	3.882	1.923616	1.91718936
0.308	3.67	3.778	2.604646	2.25285976
0.308	3.94	3.67	1.731304	2.604646
0.3105	3.57	3.644	2.933286	2.68982304
0.312	3.29	3.612	3.868374	2.79491616
0.312	3.75	3.632	2.34375	2.72919936
0.3152	3.51	3.666	3.131814	2.61773784
0.316	4.04	3.728	1.413024	2.41531776
0.316	3.74	3.596	2.376264	2.84757024
0.318	3.6	3.73	2.8344	2.408806
0.3199	3.09	3.662	4.549734	2.63083416
0.32	4.18	3.564	0.972136000000003	2.95309344
0.32	3.7	3.556	2.5066	2.97951904
0.322	3.25	3.524	4.00375	3.08540064
0.324	3.56	3.298	2.966304	3.84135256
0.3245	2.93	3.274	5.102886	3.92247064
0.325	3.05	3.302	4.68735	3.82784856
0.327	3.58	3.238	2.900296	4.04445016
0.328	3.39	3.31	3.531894	3.800854
0.3292	3.24	3.382	4.037664	3.55870936
0.331	3.29	3.328	3.868374	3.74018176
0.332	3.41	3.356	3.464934	3.64598304
